feature,importance,importance_pct
aqi_rolling_3h_mean,0.4775898,50.19548
aqi_rolling_3h_max,0.15239723,16.017202
pm25_rolling_3h_mean,0.09679761,10.17359
pm25_rolling_6h_mean,0.050198916,5.2759895
pm25,0.03389273,3.5621822
aqi_lag_1h,0.021997007,2.311922
aqi_rolling_6h_min,0.012923436,1.3582747
pm25_rolling_12h_max,0.01201942,1.2632611
pm25_lag_1h,0.0120027615,1.2615103
pm25_rolling_3h_min,0.011633601,1.2227108
pm10,0.011459594,1.2044224
aqi_rolling_6h_mean,0.0077110315,0.8104422
pm25_rolling_24h_max,0.006922631,0.7275801
pm10_rolling_3h_min,0.0068640052,0.7214184
aqi_rolling_3h_min,0.0068259155,0.7174151
pm25_rolling_6h_min,0.0051346472,0.53966
aqi_lag_3h,0.004453427,0.4680626
pm25_rolling_6h_max,0.0033470618,0.3517818
pm10_rolling_6h_max,0.0028729038,0.30194697
total_pm,0.0018886208,0.19849718
pm25_rolling_48h_max,0.0016802843,0.17660068
pm25_rolling_24h_min,0.0016546372,0.17390512
pm25_lag_3h,0.0013813912,0.14518651
pm25_rolling_12h_mean,0.0010701949,0.11247926
aqi_rolling_6h_max,0.0009830595,0.103321195
pm25_rolling_3h_max,0.0009705096,0.10200217
pm25_rolling_12h_min,0.0009521006,0.10006736
aqi_rolling_12h_mean,0.00094471994,0.09929164
pm10_rolling_3h_max,0.0009323542,0.09799198
aqi_rolling_12h_min,0.00063475646,0.06671396
pm10_rolling_3h_mean,0.0006169008,0.06483731
pm10_lag_1h,0.00038440057,0.04040114
aqi_rolling_24h_min,0.0003220297,0.033845857
