feature,importance
aqi_rolling_3h_mean,0.742482991124548
pm25,0.20142571000075934
pm25_rolling_6h_mean,0.009849700519183071
pm25_rolling_6h_max,0.006255467193911503
aqi_lag_1h,0.005023842059952766
aqi_rolling_3h_max,0.003816611866154175
pm25_rolling_12h_max,0.002355201485028355
aqi_lag_3h,0.002306970404837324
pm25_rolling_3h_max,0.0022216526912874567
pm25_rolling_6h_min,0.0019486378360466898
aqi_rolling_3h_min,0.001901914266638355
aqi_rolling_6h_min,0.0015301859043964038
pm25_lag_1h,0.001515811196345032
aqi_rolling_6h_mean,0.0014532708209584588
pm25_rolling_3h_min,0.0010935376629174545
pm25_lag_3h,0.0010803081859770748
total_pm,0.001072137568292843
pm10_rolling_3h_max,0.001023410531187172
pm10_rolling_6h_mean,0.0008746723359919778
pm10,0.0008602749951504694
pm25_rolling_3h_mean,0.0008463075781414678
aqi_rolling_24h_mean,0.0008164907915178913
pm10_rolling_6h_min,0.0007196792609949874
pm25_rolling_24h_mean,0.0007009329364572099
pm25_rolling_12h_mean,0.0006192115144675969
pm10_lag_1h,0.0006134413707549378
pm10_rolling_12h_mean,0.0005978713700608516
pm10_lag_3h,0.0005523718219747541
pm10_rolling_3h_min,0.0005413267435405378
pm25_rolling_24h_max,0.0003826025671039664
pm10_rolling_72h_max,0.0003392627574377504
pm10_rolling_24h_max,0.00033146444489925785
pm10_rolling_3h_mean,0.00031092178761792734
pm25_rolling_12h_min,0.00030765915993229376
pm10_rolling_6h_max,0.0002989045361539045
aqi_rolling_12h_mean,0.0002972017039976087
pm25_rolling_48h_max,0.0002270731832887613
pm10_rolling_48h_max,0.00020411388580622027
aqi_rolling_24h_min,0.00016525678584742415
aqi_rolling_48h_mean,0.00015339761512586116
pm25_lag_6h,0.00014957205208944755
pm10_rolling_12h_max,0.00013356299000553962
pm25_rolling_72h_max,0.0001283492918235914
aqi_lag_6h,0.0001164810065251242
pm10_rolling_12h_min,0.00011189281888071305
aqi_rolling_12h_min,9.248056375716073e-05
aqi_rolling_6h_max,5.9688585274792594e-05
pm25_rolling_24h_min,4.7572049862295985e-05
aqi_rolling_12h_max,3.597848761483888e-05
aqi_rolling_48h_min,6.62168948142578e-06
