,Correlation,Mutual_Info,Random_Forest,Gradient_Boost,Average
aqi_rolling_3h_mean,1.0,0.5809628115714685,1.0,1.0,0.8952407028928671
pm25,0.9128745296059687,1.0,0.31500798031298516,0.3185343679407758,0.6366042194649324
aqi_rolling_3h_max,0.9362509544239008,0.6993779472715479,0.0003932303239582243,4.019607788089895e-06,0.40900653790679875
aqi_rolling_3h_min,0.9747364501497218,0.6568817478740391,0.0006883828905481404,7.655739899377123e-05,0.40809578457832574
pm25_rolling_3h_max,0.9126214779796901,0.6954758016681688,3.8971593165574937e-05,5.064428836864894e-06,0.4020353289174654
pm25_rolling_3h_min,0.9074063934144702,0.656352157937251,0.0009601952156142057,0.00045134087828933855,0.3912925218614062
pm25_rolling_3h_mean,0.9114554130242708,0.5788464304029729,0.0002745255857059401,6.502222650286344e-05,0.3726603478098631
aqi_rolling_6h_min,0.9614078471174278,0.5284981420159579,1.6129287247566425e-05,0.00027461674195597744,0.37254918379064733
pm25_rolling_6h_max,0.9060626435886749,0.5799173845011361,0.0001433449356477376,7.9198878817214e-08,0.3715308630560844
pm25_lag_1h,0.9105402551227489,0.57056636284412,0.0002816874004127352,6.503568702007268e-07,0.37034723893103794
aqi_lag_1h,0.9102480645291743,0.5635137833482438,0.00017888876597824132,0.0009440797228642379,0.3687212040915651
pm25_rolling_6h_min,0.8961859408858686,0.5295084436176489,5.192659547366933e-05,7.083368680909524e-05,0.3564542861964501
aqi_rolling_6h_max,0.8247359749921781,0.5768812903318146,9.338774339783237e-05,1.823320566379984e-05,0.35043222156826354
aqi_rolling_6h_mean,0.9774429999866366,0.41829563198277914,0.00015686391606626408,4.2897750198833256e-07,0.348973981215746
pm25_rolling_12h_max,0.8927088244022656,0.47947283919933414,0.00011077721511952054,9.59901835512104e-10,0.3430731104441553
aqi_rolling_12h_min,0.942088608236622,0.41440802827897405,4.4511250077453254e-05,1.5394031313785311e-07,0.3391353254264967
total_pm,0.9204691937809741,0.41610298327357964,0.0005153108136057671,0.0003410206611337965,0.33435712713232335
pm25_rolling_6h_mean,0.9054163176731063,0.42122477100679473,0.00015272417614589203,2.617212686879267e-07,0.33169851864432887
pm25_rolling_12h_min,0.8757007913346088,0.4266718427865744,2.4685867733228253e-05,6.41893355291227e-05,0.3256153773311114
pm25_rolling_24h_max,0.8790008718160888,0.3948064242419737,0.0002958589904559096,8.375416851078476e-10,0.31852578897151496
pm25_lag_3h,0.8971388459976412,0.37205428078623776,6.90960731717436e-05,8.128085483830342e-05,0.31733587592797224
aqi_rolling_12h_mean,0.9532968350976163,0.31020542834328424,7.785277779433911e-05,1.4948508447183275e-05,0.3158987661817855
aqi_lag_3h,0.8923405894473622,0.36789626032724304,0.0,2.2910971098467957e-08,0.3150592181713941
aqi_rolling_24h_min,0.9140245784486524,0.3289399552688347,9.905125977691147e-07,3.318737671726826e-07,0.310741464025963
pm10,0.9100826527023383,0.32387889699633227,2.9304209913662325e-05,0.00036450723036478787,0.3085888402847373
pm10_rolling_3h_max,0.9111439852591451,0.31459304754574174,8.895492239565545e-05,9.744954844216863e-07,0.3064567405556918
pm10_rolling_6h_max,0.9069400873336199,0.30547935799018366,0.00023421909575376768,1.1116644182711182e-07,0.3031634438964998
pm10_rolling_3h_mean,0.9095083465507698,0.3008245400303945,6.696694790759578e-05,6.533681023393317e-08,0.3025999797164705
pm10_lag_1h,0.9084281617504527,0.29953800577201334,0.0003273578813931721,4.22336665046833e-07,0.30207348693513103
pm10_rolling_3h_min,0.9047813834856763,0.30110779951173056,4.367814694954392e-05,1.88947294970357e-05,0.3014879389684633
pm25_rolling_24h_min,0.8546700983943084,0.34962530615825876,1.5292702323921214e-05,2.755342729941038e-06,0.3010783631494052
pm25_rolling_12h_mean,0.8920018208052318,0.31173839612716103,0.00010177406856061788,5.988907375660076e-08,0.3009605127225068
pm25_rolling_48h_max,0.8596895577134037,0.34172276728026785,0.00024044378985947867,1.3033513778734591e-08,0.3004131954542612
pm10_rolling_12h_max,0.8961967110100684,0.29844162208275354,0.0003778869618763259,1.4078102637486753e-08,0.2987540585332002
aqi_rolling_24h_mean,0.929575635134168,0.25762618712919366,0.0001059143939123055,3.540980585513408e-08,0.29682694301676993
pm10_rolling_6h_mean,0.9049045202442482,0.2713885822361165,0.00018201799838803382,2.5161669708543583e-07,0.29411884302386243
pm10_rolling_24h_max,0.8837493288725495,0.291364701198908,0.00017685448263013765,4.2249102818948486e-05,0.29383328341422665
pm10_rolling_6h_min,0.8933205238001176,0.27767477847747146,0.0,1.3382489661987418e-07,0.2927488590256215
pm25_rolling_72h_max,0.8401513322339131,0.3094998723542938,0.00011789769002874935,0.0013905788953641378,0.28778992029339995
aqi_rolling_12h_max,0.6920681418062666,0.4577982157414857,7.389584266906359e-05,0.00023654958342980505,0.2875442007434628
pm10_lag_3h,0.8966031626543155,0.24876706755390116,7.569518789219875e-05,7.879657711782055e-07,0.28636167834047
pm25_rolling_24h_mean,0.8784310433609153,0.26247965658594274,9.186622501801314e-05,2.1058585676030417e-07,0.2852506941894332
pm10_rolling_48h_max,0.8628011621176098,0.2748313138192473,0.00018817080673970196,1.3601943657237106e-10,0.28445516171990404
pm25_lag_6h,0.8699178925747286,0.2648021328545198,0.0,1.2084913089631247e-07,0.28368003656959484
pm10_rolling_12h_mean,0.8936749004923453,0.23912147360106178,4.9975792364455246e-05,1.2012235481391888e-05,0.2832145905303132
pm10_rolling_12h_min,0.8712206606276076,0.257152469238589,0.0,6.431008579195737e-07,0.2820934432417636
aqi_lag_6h,0.8577679415882913,0.26563715356654033,8.053563236847845e-07,2.0450201117471816e-08,0.28085148024033907
pm10_rolling_72h_max,0.843037692749894,0.26723131651273674,0.00026417127209123545,2.4727771220627377e-06,0.277633913327961
aqi_rolling_48h_mean,0.8943456318995221,0.21428510273442317,2.5175513190681327e-06,6.250439893649514e-09,0.27715831460892604
aqi_rolling_48h_min,0.8492542729908631,0.2578179620379905,1.7823846020812643e-05,5.474079177346025e-09,0.2767725160872384
pm10_rolling_24h_mean,0.8812761710858752,0.22136417435606442,1.1928650390671077e-05,1.1076607749046697e-07,0.2756630962146019
pm10_rolling_24h_min,0.8469836514967565,0.2546066309336445,1.1727762086865371e-05,8.635240568897206e-09,0.27540050470693206
pm25_rolling_48h_min,0.7943381117805844,0.2885586025116862,0.0,4.907469126519617e-08,0.27072419084174043
pm10_lag_6h,0.8718104508978328,0.20483989484962525,5.664582201078274e-05,0.00028149092889618525,0.2692471206245913
aqi_rolling_72h_mean,0.8673965131882341,0.20259872139008264,0.0,4.7638530035317134e-08,0.2674988205542117
pm25_rolling_48h_mean,0.8529150149975092,0.2162791662973065,5.071597422969261e-05,5.389264751545274e-06,0.2673125716334493
pm10_rolling_48h_mean,0.8571419976422673,0.19982952082049363,5.014495927264588e-05,7.172028663066879e-10,0.2642554160348091
pm25_rolling_72h_mean,0.8311535594962169,0.20654569134560266,0.0,1.1077851068347078e-07,0.25942484040508257
pm10_rolling_72h_mean,0.8360435922013009,0.19516012337114574,0.0,1.0181541323679591e-07,0.257800954346965
pm25_lag_12h,0.8279605611004454,0.1982565571105962,3.458491009181582e-05,6.461419968094556e-06,0.2565645411352754
pm10_rolling_48h_min,0.782861052600631,0.23772700320919893,0.0,2.6066476243315938e-09,0.25514701460411937
aqi_lag_12h,0.8216352210793632,0.19681507054669423,0.0,9.679811068732817e-09,0.25461257532646714
aqi_rolling_72h_min,0.7867794375186944,0.2256087002321813,1.0130743985902322e-06,2.476222935883412e-11,0.2530972877125091
pm10_lag_12h,0.8324362523812581,0.16908405243259692,2.0308709737580643e-05,5.654631803760961e-08,0.2503851675174777
pm25_rolling_72h_min,0.7358728629481701,0.2566616973995013,0.0,4.633412474247333e-18,0.24813364008691785
pm25_lag_24h,0.7963667067682244,0.1665541806693101,3.268867558927895e-05,2.0730936824693752e-08,0.24073839921101517
aqi_lag_24h,0.7826982525345146,0.16630773853317785,1.7528805915592327e-05,9.487625363586892e-08,0.2372559036874654
pm10_rolling_72h_min,0.7202321544806227,0.2287211877550082,0.0,3.347471099639269e-08,0.23723834392758547
pm10_lag_24h,0.8014309300765682,0.14673485871417777,1.1575359902558534e-05,6.611398714507444e-07,0.23704450632263
pm25_rolling_72h_std,0.7617098358678335,0.18493592973422582,0.000370534605985031,3.004130192829511e-08,0.23675408256233654
pm25_rolling_48h_std,0.7656838800851308,0.17975242123468685,0.00015484337997296604,0.00022128010994261873,0.2364531062024333
pm10_rolling_72h_std,0.7666908858145641,0.17815427420994018,0.00015739176463664575,7.260047851619529e-06,0.23625245295924813
