timestamp,city,aqi_actual,aqi_predicted,aqi_category,risk_level,outdoor_activity,mask_recommendation,hour
2025-11-19 17:00:00,Mexico City,101,100.2818603515625,Unknown,Extreme,Stay Indoors - Emergency,N95/N99 mask required if going outdoors,17
2025-11-19 17:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,17
2025-11-19 17:00:00,Mumbai,172,171.36000061035156,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,17
2025-11-19 17:00:00,Beijing,165,165.29193115234375,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,17
2025-11-19 18:00:00,New York,9,9.008378982543945,Good,Low,Unrestricted,Not necessary,18
2025-11-19 18:00:00,Beijing,170,168.7070770263672,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,18
2025-11-19 18:00:00,Tokyo,5,4.994343280792236,Good,Low,Unrestricted,Not necessary,18
2025-11-19 18:00:00,Delhi,215,215.12742614746094,Very Unhealthy,Very High,Minimize Outdoor Activity,N95/N99 mask required if going outdoors,18
2025-11-19 18:00:00,Cairo,135,136.3347930908203,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,18
2025-11-19 18:00:00,Mumbai,175,174.2387237548828,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,18
2025-11-19 18:00:00,Los Angeles,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,18
2025-11-19 18:00:00,Mexico City,109,108.47694396972656,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,18
2025-11-19 18:00:00,São Paulo,32,31.59314727783203,Good,Low,Unrestricted,Not necessary,18
2025-11-19 18:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,18
2025-11-19 19:00:00,New York,9,9.014400482177734,Good,Low,Unrestricted,Not necessary,19
2025-11-19 19:00:00,Beijing,178,177.1343994140625,Unhealthy,High,Avoid Prolonged Exertion,N95 mask recommended for everyone outdoors,19
2025-11-19 19:00:00,London,2,2.0746066570281982,Good,Low,Unrestricted,Not necessary,19
2025-11-19 19:00:00,São Paulo,36,36.39060592651367,Good,Low,Unrestricted,Not necessary,19
2025-11-19 19:00:00,Cairo,135,137.32606506347656,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,19
2025-11-19 19:00:00,Mexico City,113,111.66515350341797,Unhealthy for Sensitive Groups,Moderate,Reduce Prolonged Exertion,Recommended for sensitive groups,19
2025-11-19 19:00:00,Tokyo,5,4.994343280792236,Good,Low,Unrestricted,Not necessary,19
